epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82987,0.53209,1.0263,1.18681,0.99314,0.875,0.98167,0.98167,0.10758,0.56569,0.72123,0.0003076,0.0003076,0.0003076
2,12.8512,0.61364,1.08144,1.26234,0.99315,0.875,0.98167,0.98167,0.11838,0.60332,0.72487,0.000463707,0.000463707,0.000463707
3,18.8481,0.76657,1.26803,1.44906,0.99315,0.875,0.98167,0.98167,0.11838,0.60332,0.72487,0.00026146,0.00026146,0.00026146
